16	0.000000e+00	1.151000e-04	2.600000e-06
32	0.000000e+00	3.957000e-04	4.800000e-06
48	0.000000e+00	7.919000e-04	3.400000e-06
64	0.000000e+00	1.377600e-03	4.500000e-06
80	0.000000e+00	2.103100e-03	5.800000e-06
96	0.000000e+00	3.008800e-03	7.600000e-06
112	0.000000e+00	4.111900e-03	9.400000e-06
128	0.000000e+00	5.314700e-03	1.470000e-05
144	0.000000e+00	6.665600e-03	1.520000e-05
160	0.000000e+00	8.229200e-03	1.800000e-05
176	0.000000e+00	9.861200e-03	2.260000e-05
192	0.000000e+00	1.176690e-02	3.090000e-05
208	0.000000e+00	1.376900e-02	3.430000e-05
224	0.000000e+00	1.597860e-02	3.720000e-05
240	0.000000e+00	1.824010e-02	4.900000e-05
256	0.000000e+00	2.068820e-02	6.240000e-05
272	0.000000e+00	2.362440e-02	5.660000e-05
288	0.000000e+00	2.630020e-02	6.620000e-05
304	0.000000e+00	2.912310e-02	7.730000e-05
320	0.000000e+00	3.252150e-02	9.130000e-05
336	0.000000e+00	3.574250e-02	1.158000e-04
352	0.000000e+00	3.951930e-02	1.331000e-04
368	0.000000e+00	4.283380e-02	1.543000e-04
384	0.000000e+00	4.675640e-02	1.743000e-04
400	0.000000e+00	5.026340e-02	2.035000e-04
416	0.000000e+00	5.439490e-02	2.179000e-04
432	0.000000e+00	5.838080e-02	2.414000e-04
448	0.000000e+00	6.329710e-02	2.596000e-04
464	0.000000e+00	6.790530e-02	2.896000e-04
480	0.000000e+00	7.234530e-02	2.981000e-04
496	0.000000e+00	7.747230e-02	3.466000e-04
512	0.000000e+00	8.164180e-02	3.336000e-04
